a,b,c,d,e,f,g,h,i,j,k
27.7767,16.3195,16.3234,4.692,2.6582,0.0006,1.9488,0.2172,0.0108,0.0002,0
27.7754,16.3074,16.3113,4.642,2.6632,0.0003,1.7989,0.2171,0.0111,0,0
27.7775,16.2985,16.3024,4.61,2.6641,0.0002,1.8531,0.2192,0.01,0.0002,0
27.7778,16.2921,16.296,4.602,2.6594,0.0001,1.582,0.2185,0.01,0.0008,0
27.7914,16.2894,16.2933,4.615,2.6645,0,1.7508,0.2186,0.0125,0,0
27.7881,16.2894,16.2933,4.641,2.6629,0.0004,1.848,0.2007,0.0113,0,0
27.7817,16.2888,16.2927,4.681,2.6683,0,1.8842,0.2007,0.0105,0.0004,0
27.7736,16.2875,16.2914,4.725,2.6691,0.0002,1.8167,0.2007,0.0124,0.0005,0
27.7591,16.2841,16.288,4.756,2.6709,0.0001,1.808,0.2005,0.012,0.0001,0
27.7519,16.2783,16.2822,4.782,2.6735,0,1.9708,0.2007,0.0114,0,0
27.7746,16.2742,16.2781,4.798,2.6742,0.0002,1.9002,0.2008,0.011,0,0
27.8051,16.2777,16.2816,4.806,2.6738,0,2.0813,0.2007,0.0092,0.0008,0
27.8091,16.2861,16.29,4.809,2.6722,0.0005,1.8032,0.2057,0.0093,0.0004,0
27.7896,16.2926,16.2965,4.823,2.6695,0.0001,1.8965,0.2064,0.0085,0,0
27.7693,16.2929,16.2968,4.838,2.6641,0,2.0352,0.2061,0.0101,0.0003,0
27.76,16.2885,16.2924,4.867,2.6619,0,1.9782,0.2011,0.0093,0.0001,0
27.7715,16.2838,16.2877,4.904,2.6588,0.0008,1.7823,0.2018,0.0093,0,0
27.7834,16.2826,16.2865,4.934,2.6583,0.0003,1.7755,0.2013,0.0097,0.0004,0
27.7876,16.2844,16.2884,4.943,2.6577,0.0003,1.7852,0.2023,0.0088,0,0
27.7897,16.2871,16.291,4.939,2.6586,0.0003,1.5139,0.2041,0.0085,0.0009,0
27.7838,16.2889,16.2928,4.908,2.6615,0.0002,1.4322,0.2045,0.009,0.0006,0
27.7779,16.289,16.2929,4.852,2.6619,0.0005,1.6586,0.2039,0.0091,0.0002,0
27.7639,16.2869,16.2908,4.782,2.664,0,1.8534,0.23,0.0097,0.0003,0
27.7563,16.2825,16.2864,4.694,2.6638,0.0008,2.1227,0.2296,0.0098,0.0006,0
27.7507,16.2774,16.2813,4.607,2.6681,0.0004,2.0494,0.2296,0.0106,0.0001,0
27.7485,16.2724,16.2763,4.527,2.6703,0,1.8768,0.2174,0.0105,0.0005,0
27.7391,16.2686,16.2725,4.476,2.6736,0.0003,2.0359,0.2176,0.0101,0.0004,0
27.7283,16.2647,16.2686,4.455,2.6746,0,1.95,0.2167,0.0098,0.0001,0
27.7249,16.2603,16.2642,4.464,2.6762,0.0004,1.8219,0.2169,0.0101,0.0002,0
27.7225,16.2556,16.2595,4.518,2.6777,0.0001,1.8776,0.213,0.0099,0.0002,0
27.7371,16.252,16.2559,4.603,2.6812,0.0004,1.8043,0.2126,0.0107,0,0
27.7459,16.2513,16.2552,4.702,2.6799,0.0002,1.9506,0.2126,0.0095,0,0
27.7415,16.2513,16.2552,4.807,2.6806,0,2.0179,0.2044,0.0095,0.0002,0
27.7693,16.2517,16.2556,4.894,2.682,0.0005,1.9667,0.204,0.0099,0.0005,0
27.794,16.2573,16.2612,4.949,2.6818,0.0001,1.6139,0.2042,0.0096,0.0006,0
27.8052,16.2655,16.2694,4.968,2.6838,0.0006,1.7754,0.2042,0.0093,0,0
27.8413,16.2754,16.2793,4.953,2.6834,0.0004,1.883,0.2048,0.0096,0,0
27.8428,16.289,16.2929,4.9,2.6841,0.0002,1.8704,0.2042,0.0105,0,0
